TransactionID,SenderID,ReceiverID,Amount,RemainingBalance,Date,Time,Password,IsAnomaly
1,4,4,986.2099995200517,2207.753179366613,2023-12-03,2023-01-01 05:17:00,password,1
2,4,1,724.406822873303,2469.5563560133614,2023-03-23,2023-01-01 04:42:00,password,1
3,5,1,579.5125018701307,622.5713801208336,2023-08-07,2023-01-01 04:29:00,password,1
4,4,5,590.0978770640739,2603.8653018225905,2023-01-03,2023-01-01 04:47:00,password,1
5,3,4,549.1174960945402,3244.855242056783,2023-06-28,2023-01-01 06:16:00,password,1
6,1,3,901.7590542174671,1283.671480595664,2023-12-13,2023-01-01 07:18:00,password,1
7,5,3,561.0152471609243,641.06863483004,2023-10-07,2023-01-01 03:14:00,password,1
8,3,4,562.5626285708735,3231.4101095804494,2023-05-27,2023-01-01 00:51:00,password,1
9,2,2,723.1843232562928,4055.03005558833,2023-12-25,2023-01-01 02:34:00,password,1
10,1,1,974.2916774257169,1211.1388573874142,2023-11-05,2023-01-01 00:11:00,password,1
11,4,5,925.2358073804188,2268.7273715062456,2023-11-15,2023-01-01 01:43:00,password,1
12,1,2,672.3020422237798,1513.1284925893513,2023-08-13,2023-01-01 06:52:00,password,1
13,2,1,515.4289521540362,4262.785426690587,2023-03-04,2023-01-01 06:51:00,password,1
14,5,5,525.9476497592054,676.1362322317589,2023-10-22,2023-01-01 05:32:00,password,1
15,5,4,571.0852233519478,630.9986586390165,2023-08-28,2023-01-01 00:51:00,password,1
16,5,1,606.6966739878447,595.3872080031196,2023-07-15,2023-01-01 00:53:00,password,1
17,4,4,10.078710578589627,3183.8844683080747,2023-10-23,2023-01-01 16:49:00,password,0
18,3,3,832.5730971192027,2961.3996410321206,2023-06-16,2023-01-01 06:00:00,password,1
19,3,2,578.6631400009142,3215.309598150409,2023-08-11,2023-01-01 03:34:00,password,1
20,1,3,559.437195588536,1625.993339224595,2023-03-03,2023-01-01 02:33:00,password,1
21,4,4,90.77601571302965,3103.187163173635,2023-10-16,2023-01-01 10:51:00,password,0
22,5,4,882.3595707381396,319.7243112528247,2023-05-10,2023-01-01 07:08:00,password,1
23,5,5,78.34830899664905,1123.7355729943151,2023-05-06,2023-01-01 11:15:00,password,0
24,2,1,835.5276419299572,3942.6867369146657,2023-06-23,2023-01-01 07:14:00,password,1
25,2,4,717.662110727618,4060.552268117005,2023-06-06,2023-01-01 03:32:00,password,1
26,5,1,774.6548857400519,427.4289962509124,2023-04-21,2023-01-01 04:13:00,password,1
27,5,5,655.9920101632092,546.0918718277551,2023-09-27,2023-01-01 00:56:00,password,1
28,4,4,91.60615903502156,3102.357019851643,2023-09-05,2023-01-01 09:13:00,password,0
29,3,2,741.2502101176804,3052.7225280336424,2023-12-23,2023-01-01 07:07:00,password,1
30,2,5,753.3363244913729,4024.87805435325,2023-10-06,2023-01-01 02:11:00,password,1
31,3,3,56.76553356670839,3737.207204584615,2023-01-21,2023-01-01 15:40:00,password,0
32,4,4,94.07321080332007,3099.8899680833447,2023-06-20,2023-01-01 12:06:00,password,0
33,5,5,693.6186355890479,508.4652464019164,2023-03-16,2023-01-01 00:42:00,password,1
34,3,4,953.2861053360814,2840.686632815242,2023-07-27,2023-01-01 07:41:00,password,1
35,5,2,508.03093249050306,694.0529495004612,2023-10-07,2023-01-01 05:50:00,password,1
36,5,1,891.0856315456231,310.9982504453412,2023-11-23,2023-01-01 02:38:00,password,1
37,1,1,82.24330809865158,2103.1872267144795,2023-01-11,2023-01-01 09:34:00,password,0
38,3,1,562.1914156206622,3231.781322530661,2023-12-07,2023-01-01 02:30:00,password,1
39,3,3,898.7736802685997,2895.1990578827235,2023-12-24,2023-01-01 00:32:00,password,1
40,5,1,807.9559578383606,394.12792415260367,2023-12-07,2023-01-01 07:57:00,password,1
41,4,4,921.6390454682012,2272.324133418463,2023-07-24,2023-01-01 04:20:00,password,1
42,1,5,548.7571628204487,1636.6733719926824,2023-06-11,2023-01-01 04:39:00,password,1
43,5,5,779.490317049887,422.59356494107726,2023-01-29,2023-01-01 06:55:00,password,1
44,2,5,750.5439401310986,4027.670438713524,2023-09-15,2023-01-01 05:21:00,password,1
45,2,2,853.0965914816793,3925.1177873629435,2023-06-15,2023-01-01 01:37:00,password,1
46,1,1,767.145275946838,1418.2852588662931,2023-03-05,2023-01-01 04:44:00,password,1
47,4,4,770.367283566552,2423.5958953201125,2023-01-23,2023-01-01 07:50:00,password,1
48,5,2,714.7979717880323,487.285910202932,2023-03-12,2023-01-01 05:07:00,password,1
49,3,3,654.4172120036704,3139.5555261476525,2023-04-07,2023-01-01 00:48:00,password,1
50,1,4,741.1321806260961,1444.2983541870349,2023-06-13,2023-01-01 02:50:00,password,1
51,4,4,559.2461793842003,2634.716999502464,2023-03-21,2023-01-01 02:23:00,password,1
52,3,4,980.7566694915424,2813.216068659781,2023-01-06,2023-01-01 00:20:00,password,1
53,2,5,857.2053818132991,3921.008997031324,2023-11-13,2023-01-01 02:01:00,password,1
54,2,4,976.2335583439234,3801.9808205006993,2023-05-01,2023-01-01 06:39:00,password,1
55,3,1,613.3636911649817,3180.609046986341,2023-10-30,2023-01-01 02:38:00,password,1
56,1,4,939.670510088264,1245.760024724867,2023-06-28,2023-01-01 03:58:00,password,1
57,2,5,904.3949922817692,3873.8193865628537,2023-06-26,2023-01-01 00:05:00,password,1
58,5,5,84.81945308159229,1117.264428909372,2023-07-15,2023-01-01 13:07:00,password,0
59,3,4,838.5762062288368,2955.3965319224862,2023-08-06,2023-01-01 02:55:00,password,1
60,3,3,812.5145930426029,2981.45814510872,2023-02-26,2023-01-01 05:27:00,password,1
61,2,3,658.274832633935,4119.939546210688,2023-07-07,2023-01-01 01:37:00,password,1
62,1,5,908.2053924825154,1277.2251423306157,2023-08-21,2023-01-01 06:36:00,password,1
63,5,1,750.7577307398669,451.3261512510974,2023-09-13,2023-01-01 02:51:00,password,1
64,1,1,535.4457879456427,1649.9847468674884,2023-04-15,2023-01-01 03:21:00,password,1
65,4,2,656.431580427565,2537.5315984590998,2023-03-19,2023-01-01 01:48:00,password,1
66,4,5,967.6485492726638,2226.3146296140008,2023-08-19,2023-01-01 02:35:00,password,1
67,2,4,925.3401303024232,3852.8742485422,2023-09-16,2023-01-01 01:12:00,password,1
68,2,5,990.9528490382695,3787.2615298063533,2023-09-22,2023-01-01 03:57:00,password,1
69,2,2,813.996691302049,3964.217687542574,2023-11-28,2023-01-01 07:16:00,password,1
70,4,5,623.755036570206,2570.2081423164586,2023-07-02,2023-01-01 00:35:00,password,1
71,1,5,581.4075248384319,1604.023009974699,2023-09-14,2023-01-01 06:59:00,password,1
72,1,1,39.156233751451694,2146.2743010616796,2023-02-17,2023-01-01 13:10:00,password,0
73,2,2,593.4572203042308,4184.757158540392,2023-02-08,2023-01-01 05:18:00,password,1
74,5,5,57.28350809124588,1144.8003738997184,2023-01-02,2023-01-01 16:32:00,password,0
75,1,1,28.608263906626007,2156.822270906505,2023-07-15,2023-01-01 14:36:00,password,0
76,4,1,509.8978291736272,2684.0653497130374,2023-06-26,2023-01-01 01:59:00,password,1
77,3,4,695.3410554929696,3098.6316826583534,2023-01-28,2023-01-01 02:45:00,password,1
78,3,2,595.7138402497712,3198.258897901552,2023-10-04,2023-01-01 07:55:00,password,1
79,3,3,85.77610489593116,3708.196633255392,2023-06-05,2023-01-01 16:17:00,password,0
80,5,3,705.8277302283512,496.25615176261306,2023-05-21,2023-01-01 02:27:00,password,1
81,2,1,967.4972159193827,3810.7171629252402,2023-10-27,2023-01-01 00:41:00,password,1
82,4,3,715.270104753595,2478.69307413307,2023-10-15,2023-01-01 01:47:00,password,1
83,5,1,938.9922484924174,263.0916334985469,2023-04-02,2023-01-01 07:32:00,password,1
84,4,4,802.7523833079383,2391.210795578726,2023-03-03,2023-01-01 06:11:00,password,1
85,4,4,623.5657773306959,2570.397401555969,2023-12-14,2023-01-01 07:23:00,password,1
86,2,5,677.9273796296056,4100.286999215017,2023-06-13,2023-01-01 07:49:00,password,1
